 0 0 0  0 0 0  0 0 0  333060 sun
 -0.18987 -0.558689 -0.0282099  0.0466061 -0.0169959 -0.00566594  0 0 0  0.0552929 mercury
 16.9715 -24.8089 0.119716  0.00257205 0.00179127 -9.61511e-05  0 0 0  17.1512 neptune
 4.20279 2.98574 -0.106331  -0.00438149 0.0063931 7.16197e-05  0 0 0  317.907 jupiter
 13.5722 -13.5968 -0.226678  0.00280195 0.00264111 -2.65286e-05  0 0 0  14.5357 uranus
 1.43412 -0.0563476 -0.0364281  0.00106981 0.0149353 0.000286587  0 0 0  0.107473 mars
 0.151328 -0.971618 -0  0.0172821 0.00271241 0  0 0 0  1 earth
 -0.717632 -0.00364738 0.0413723  -1.58028e-05 -0.0203358 -0.000276997  0 0 0  0.815044 venus
 6.40752 7.01488 -0.377433  -0.00434241 0.00367836 0.000108695  0 0 0  95.1845 saturn
